CMPD_CHEMBLID,MOLWEIGHT,ALOGP,PSA,CANONICAL_SMILES,IC50,STANDARD_UNITS,ASSAY_ORGANISM,PUBMED_ID
CHEMBL3403537,351.79,3.63,89.59,Cc1ccc(Cl)cc1c2cn(cc2C(=O)N)c3ncnc4[nH]ccc34,16,nM,Homo sapiens,25882525
CHEMBL1078767,453.56,2.49,115.83,CS(=O)(=O)Nc1ccc(cc1)c2ccnc(Nc3ccc(CN4CCC(O)CC4)cc3)n2,16,nM,,19762238
CHEMBL3234884,373.45,2.89,138.76,CS(=O)(=O)c1ccc(Nc2sc(cc2C(=O)N)c3ccccc3)nc1,16,nM,Homo sapiens,24666646
CHEMBL2376149,458.47,1.33,141.81,COc1ccc2c(nn(C)c2c1)c3cnc4[nH]cc(C(=O)N[C@H](C)C(=O)N5CC(C5)C#N)c4n3,16,nM,Homo sapiens,23540648
CHEMBL3359908,272.35,1.86,72.42,CC1(C)CCC[C@H]1Nc2c(cnn3cccc23)C(=O)N,16,nM,Homo sapiens,25453808
CHEMBL1080411,377.44,3.16,85.53,COc1cc(ccc1N)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,16,nM,,19762238
CHEMBL1934345,457.53,3.25,110.67,COc1cccnc1c2ccc3cnc(Nc4ccc(cc4)C5CCN(CC(=O)N)CC5)nn23,16,nM,Homo sapiens,22169263
CHEMBL1934350,545.66,2.87,134.31,CS(=O)(=O)N1Cc2cccc(c2C1)c3ccc4cnc(Nc5ccc(cc5)C6CCN(CC(=O)N)CC6)nn34,16,nM,Homo sapiens,22169263
CHEMBL1650731,361.35,2.33,107.54,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)N(C)C)n1)c3ncc(F)cn3,16,nM,,21138246
CHEMBL3335686,394.49,1.25,128.45,CC(C)(C)CS(=O)(=O)N1CCC[C@@H](C1)NC(=O)Nc2cnc3[nH]ccc3n2,16,nM,Homo sapiens,25262541
CHEMBL1835024,326.37,3.59,83.8,NC(=O)c1cnc(NC2CCCCC2)c3c4cc(F)ccc4[nH]c13,17,nM,,21942426
CHEMBL218439,421.88,4.14,72.2,CN1CCN(CC1)c2cc(Oc3ccccc3Cl)nc(n2)n4cnc5ccncc45,17,nM,Homo sapiens,16934457
CHEMBL2381987,429.47,3.8,97.89,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)nc(N3CCN(C)CC3)c1F)c4ccc(F)cn4,17,nM,Homo sapiens,23562594
CHEMBL374321,417.47,4.85,92.31,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4ccc(cc4)C#N)c5ccccc5,18,nM,Homo sapiens,16934457
CHEMBL1835026,328.34,1.57,93.03,NC(=O)c1cnc(NC2CCOCC2)c3c4cc(F)ccc4[nH]c13,18,nM,,21942426
CHEMBL3126347,415.27,3.16,87.14,CC(C)(O)c1cc(Cl)c(Nc2nc3ccncc3c4C(=O)NC=Cc24)c(Cl)c1,18,nM,Homo sapiens,24582987
CHEMBL576068,327.36,2.71,91.41,C[C@H](Nc1cnc(C)c(Nc2cc(C)[nH]n2)n1)c3ccc(F)cn3,18,nM,,19857966
CHEMBL1946150,493.62,4.47,104.83,CCS(=O)(=O)CNc1cc2CN(C)C\C=C\CCOc3cccc(c3)c4ccnc(Nc(c2)c1)n4,18,nM,1,60939
CHEMBL2376142,392.41,.06,132.58,CCn1cc(cn1)c2cnc3[nH]cc(C(=O)N[C@H](C)C(=O)N4CC(C4)C#N)c3n2,18,nM,Homo sapiens,23540648
CHEMBL1078971,452.57,3.01,98.84,CN1CCN(Cc2ccc(Nc3nccc(n3)c4ccc(NS(=O)(=O)C)cc4)cc2)CC1,18,nM,,19762238
CHEMBL1078178,414.46,2.86,103.16,O=C(NCC#N)c1ccc(cc1)c2ccnc(Nc3ccc(cc3)N4CCOCC4)n2,18,nM,,19762238
CHEMBL3359927,276.31,1.45,72.42,C[C@]1(F)CCC[C@H]1Nc2c(cnn3cccc23)C(=O)N,18,nM,Homo sapiens,25453808
CHEMBL233555,483.57,3.37,105.79,C[C@H](Nc1nc(nc2c1cc(C(=O)NCCN(C)C)n2C)n3cnc4ccncc34)c5ccccc5,19,nM,,17189692
CHEMBL375296,414.51,3.69,75,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)N4CCN(C)CC4)c5ccccc5,19,nM,Homo sapiens,16934457
CHEMBL1938642,354.43,2,122.7,NC(=O)c1cnc(N)c2cc(sc12)c3ccc(cc3)N4CCOCC4,19,nM,Homo sapiens,22087750
CHEMBL1835025,340.39,4.04,83.8,NC(=O)c1cnc(NC2CCCCCC2)c3c4cc(F)ccc4[nH]c13,19,nM,,21942426
CHEMBL3330104,327.77,3.12,110.68,Cc1ccc(Cl)cc1c2[nH]c(cc2C(=O)N)c3ccnc(N)n3,20,nM,Homo sapiens,25882525
CHEMBL3234873,452.57,3.32,128.94,CC(C)(O)c1ccc(cc1)c2cc(C(=O)N)c(Nc3cccc(CN4CCOCC4)n3)s2,20,nM,Homo sapiens,24666646
CHEMBL3403546,365.82,4.15,78.21,CCc1ccc(Cl)cc1n2cc(cc2C(=O)N)c3ncnn4cccc34,20,nM,Homo sapiens,25882525
CHEMBL3330104,327.77,3.12,110.68,Cc1ccc(Cl)cc1c2[nH]c(cc2C(=O)N)c3ccnc(N)n3,20,nM,Homo sapiens,25009002
CHEMBL2376146,428.45,1.34,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4ccccc34)C(=O)N5CC(C5)C#N,20,nM,Homo sapiens,23540648
CHEMBL568790,269.31,1.14,94.02,CC(C)Nc1cc(ncn1)c2c(N)nn3cccnc23,20,nM,,19857967
CHEMBL1088856,499.56,4.3,83.01,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(C(=O)N5CCOCC5)c(C)c4)c3n2,20,nM,,20231096
CHEMBL384820,435.52,5.14,71.76,C[C@H](Nc1cc(nc(n1)n2cnc3ccncc23)c4ccc(cc4)N(C)C)c5ccccc5,20,nM,Homo sapiens,16934457
CHEMBL221959,312.37,1.51,88.91,C[C@@H]1CCN(C[C@@H]1N(C)c2ncnc3[nH]ccc23)C(=O)CC#N,20,nM,,14593182
CHEMBL1088857,489.54,4.68,65.94,COc1cc(cc(OC)c1OC)c2cnc3cccc(c4ccc(CN5CCOCC5)c(F)c4)c3n2,20,nM,,20231096
CHEMBL2381977,434.47,2.59,129.22,C[C@H](Nc1nc(Nc2ncc(C)s2)nc(N3CCOCC3)c1F)c4ncc(F)cn4,20,nM,Homo sapiens,23562594
CHEMBL3330127,415.29,3.85,110.68,NC(=O)c1cc([nH]c1c2cc(ccc2C(F)(F)F)C(F)(F)F)c3ccnc(N)n3,21,nM,Homo sapiens,25009002
CHEMBL576862,331.37,2.37,94.02,C[C@H](Nc1cc(ncn1)c2c(N)nn3cccnc23)c4ccccc4,21,nM,,19857967
CHEMBL391096,482.54,3.12,102.99,C[C@H](Nc1nc(nc2c1cc(C(=O)N3CCOCC3)n2C)n4cnc5ccncc45)c6ccccc6,21,nM,,17189692
CHEMBL1650726,349.75,2.82,101.5,C[C@H](Oc1ncc(Cl)c(Nc2cc(C)[nH]n2)n1)c3ncc(F)cn3,21,nM,,21138246
CHEMBL1682366,456.54,4.42,94.45,CC1(CC1)c2cc(Nc3nc(nn4cccc34)N5CCN(CC5)C(=O)Cc6ccccc6)n[nH]2,22,nM,,21282055
CHEMBL2376144,462.89,2.01,132.58,C[C@@H](NC(=O)c1c[nH]c2ncc(nc12)c3nn(C)c4cc(Cl)ccc34)C(=O)N5CC(C5)C#N,22,nM,Homo sapiens,23540648
CHEMBL1682369,354.41,2.21,94.45,CCC(=O)N1CCN(CC1)c2nc(Nc3cc(C)[nH]n3)c4cccn4n2,22,nM,,21282055
CHEMBL3330121,516.04,5.74,92.3,CN1CCN(CC1)c2ccc(Nc3nccc(n3)c4cc(C(=O)N)c(c5cc(Cl)ccc5C)n4C)cc2,22,nM,Homo sapiens,25009002
CHEMBL576475,318.34,1.06,106.91,Nc1nn2cccnc2c1c3cc(NCc4ccccn4)ncn3,22,nM,,19857967
CHEMBL1835031,342.82,4.05,83.8,NC(=O)c1cnc(NC2CCCCC2)c3c4ccc(Cl)cc4[nH]c13,23,nM,,21942426
CHEMBL1835038,374.44,3.63,112.48,NC(=O)c1cnc(NC2CCCCC2)c3c4ccc(cc4[nH]c13)c5ccn[nH]5,23,nM,,21942426
CHEMBL3330126,397.74,4.75,119.91,NC(=O)c1cc([nH]c1c2cc(OC(F)(F)F)ccc2Cl)c3ccnc(N)n3,24,nM,Homo sapiens,25009002
CHEMBL3126342,358.18,2.03,79.8,Clc1cncc(Cl)c1Nc2nc3ccncc3c4C(=O)NC=Cc24,24,nM,Homo sapiens,24582987
CHEMBL3039513,392.38,2.75,95.58,CC[C@@](C)(Nc1ccnc(n1)c2c[nH]c3ncccc23)C(=O)NCC(F)(F)F,24,nM,Homo sapiens,24417533
CHEMBL3335690,428.55,2.74,112.24,CC(C)(C)CS(=O)(=O)N1CCC[C@@H](C1)Nc2ncccc2c3cnc4[nH]ccc4n3,24,nM,Homo sapiens,25262541
